storm_date,storm_time,time_zone_offset,state_abbreviation,state_name,state_fips_code,magnitude,injured_count,fatality_count,property_loss,crop_loss,yearly_tornado_count,start_lon,start_lat,end_long,end_lat,length,width,tornado_path_geom
2005-11-12,17:20:00,-06:00,IA,Iowa,19,1,0,0,0.73,0,1206,-93.52,42.17,-93.43,42.27,8.0,225.0,"LINESTRING(-93.52 42.17, -93.43 42.27)"
2000-05-11,19:20:00,-06:00,IA,Iowa,19,2,0,0,0.3,0,766,-92.17,42.57,-92.13,42.5,5.0,450.0,"LINESTRING(-92.17 42.57, -92.13 42.5)"
2006-04-13,19:48:00,-06:00,IA,Iowa,19,1,0,0,0.08,0,359,-91.38,41.48,-91.3,41.5,4.8,528.0,"LINESTRING(-91.38 41.48, -91.3 41.5)"
2014-05-11,20:43:00,-06:00,IA,Iowa,19,2,0,0,1.3,0,505986,-94.5128,41.6108,-94.3839,41.7256,10.35,720.0,"LINESTRING(-94.5128 41.6108, -94.3839 41.7256)"
2010-06-25,20:53:00,-06:00,IA,Iowa,19,4,13,0,3.5,0,793,-95.951,43.44,-95.696,43.377,13.65,2400.0,"LINESTRING(-95.951 43.44, -95.696 43.377)"
2012-04-14,20:22:00,-06:00,IA,Iowa,19,1,0,0,0.075,0,365283,-92.5092,41.2498,-92.4847,41.2493,1.27,270.0,"LINESTRING(-92.5092 41.2498, -92.4847 41.2493)"
2008-06-05,23:36:00,-06:00,IA,Iowa,19,1,0,0,0.075,0,1110,-93.23,41.56,-93.11,41.67,9.81,375.0,"LINESTRING(-93.23 41.56, -93.11 41.67)"
2001-09-06,17:30:00,-06:00,IA,Iowa,19,2,0,0,0.3,0,1129,-91.73,42.62,-91.72,42.62,1.0,150.0,"LINESTRING(-91.73 42.62, -91.72 42.62)"
2016-11-28,15:38:00,-06:00,IA,Iowa,19,0,0,0,3000,0,614408,-92.8034,42.5248,-92.7465,42.5953,5.68,150.0,"LINESTRING(-92.8034 42.5248, -92.7465 42.5953)"
2004-06-11,16:56:00,-06:00,IA,Iowa,19,3,0,0,0.19,0,1336,-92.55,43.4,-92.57,43.55,12.0,450.0,"LINESTRING(-92.55 43.4, -92.57 43.55)"
2005-11-12,16:56:00,-06:00,IA,Iowa,19,0,0,0,0.002,0,1211,-93.62,42.03,-93.62,42.03,0.2,90.0,
2001-04-11,15:25:00,-06:00,IA,Iowa,19,0,0,0,0.09,0,708,-92.03,41.43,-92.0,41.47,3.0,150.0,"LINESTRING(-92.03 41.43, -92 41.47)"
2013-10-04,19:33:00,-06:00,IA,Iowa,19,1,0,0,1.2,0,476160,-95.3649,42.6032,-95.2973,42.6644,5.45,600.0,"LINESTRING(-95.3649 42.6032, -95.2973 42.6644)"
2013-05-19,18:07:00,-06:00,IA,Iowa,19,1,0,0,0.09,0,440822,-93.6687,41.8463,-93.5808,41.865,4.71,450.0,"LINESTRING(-93.6687 41.8463, -93.5808 41.865)"
2015-06-22,16:50:00,-06:00,IA,Iowa,19,2,0,0,0.125,0.005,580234,-92.8428,41.0234,-92.8112,41.0169,1.71,870.0,"LINESTRING(-92.8428 41.0234, -92.8112 41.0169)"
2015-06-07,00:41:00,-06:00,IA,Iowa,19,1,0,0,0.09,0,575684,-93.6102,42.0014,-93.5923,42.002,0.92,105.0,"LINESTRING(-93.6102 42.0014, -93.5923 42.002)"
2017-08-18,19:07:00,-06:00,IA,Iowa,19,2,0,0,300000,65000,615653,-95.68,43.34,-95.6255,43.2771,5.14,750.0,"LINESTRING(-95.68 43.34, -95.6255 43.2771)"
2017-06-28,16:54:00,-06:00,IA,Iowa,19,1,0,0,85000,6000,615498,-93.3588,41.3348,-93.0556,41.4515,17.8,1500.0,"LINESTRING(-93.3588 41.3348, -93.2072 41.39315, -93.0556 41.4515)"
2008-06-05,23:49:00,-06:00,IA,Iowa,19,0,0,0,0.025,0,1112,-93.03,41.74,-92.89,41.86,10.89,225.0,"LINESTRING(-93.03 41.74, -92.89 41.86)"
2017-06-28,14:57:00,-06:00,IA,Iowa,19,0,0,0,5000,5000,615490,-94.519,41.3985,-94.2435,41.462,14.93,300.0,"LINESTRING(-94.519 41.3985, -94.38125 41.43025, -94.2435 41.462)"
2017-03-06,20:33:00,-06:00,IA,Iowa,19,2,0,0,750000,0,614745,-92.876,40.6891,-92.7152,40.7576,9.66,270.0,"LINESTRING(-92.876 40.6891, -92.7152 40.7576)"
1999-04-08,13:54:00,-06:00,IA,Iowa,19,4,3,0,2.69,0,813,-94.9,40.85,-94.47,41.48,49.0,3000.0,"LINESTRING(-94.9 40.85, -94.7925 41.0075, -94.685 41.165, -94.5775 41.3225, -94.47 41.48)"
2016-07-19,13:34:00,-06:00,IA,Iowa,19,0,0,0,4000,1000,614220,-93.0528,40.9807,-93.0288,41.0092,2.34,150.0,"LINESTRING(-93.0528 40.9807, -93.0288 41.0092)"
2011-04-09,20:08:00,-06:00,IA,Iowa,19,3,0,0,13,0,283446,-95.1291,42.5191,-94.7664,42.8175,29.37,7920.0,"LINESTRING(-95.1291 42.5191, -94.94775 42.6683, -94.7664 42.8175)"
2001-04-11,14:10:00,-06:00,IA,Iowa,19,1,0,0,0.07,0,628,-94.03,42.15,-94.02,42.2,4.0,120.0,"LINESTRING(-94.03 42.15, -94.02 42.2)"
2016-11-28,12:44:00,-06:00,IA,Iowa,19,0,0,0,5000,0,614407,-93.4274,42.317,-93.3709,42.38,5.22,150.0,"LINESTRING(-93.4274 42.317, -93.3709 42.38)"
2015-11-11,15:22:00,-06:00,IA,Iowa,19,2,0,0,0.35,0,609097,-93.0872,40.8432,-92.9222,40.9844,13.03,570.0,"LINESTRING(-93.0872 40.8432, -92.9222 40.9844)"
2013-05-30,15:10:00,-06:00,IA,Iowa,19,1,0,0,0.025,0,451690,-91.354,41.3677,-91.3407,41.4014,2.43,300.0,"LINESTRING(-91.354 41.3677, -91.3407 41.4014)"
2004-05-21,16:12:00,-06:00,IA,Iowa,19,1,0,0,0.23,0,198,-95.27,43.05,-95.25,43.05,1.0,600.0,"LINESTRING(-95.27 43.05, -95.25 43.05)"
2001-04-11,11:55:00,-06:00,IA,Iowa,19,1,0,0,0.11,0,72,-95.47,41.27,-95.47,41.27,0.5,120.0,
2004-05-22,18:55:00,-06:00,IA,Iowa,19,1,0,0,0.002,0,910,-94.1,41.62,-94.02,41.57,5.0,300.0,"LINESTRING(-94.1 41.62, -94.02 41.57)"
2009-06-21,18:20:00,-06:00,IA,Iowa,19,1,0,0,0.025,0.002,801,-92.6512,42.465,-92.6271,42.4931,2.3,270.0,"LINESTRING(-92.6512 42.465, -92.6271 42.4931)"
1997-08-23,19:50:00,-06:00,IA,Iowa,19,1,0,0,0.4,0,437,-92.77,43.02,-92.7,43.0,5.0,450.0,"LINESTRING(-92.77 43.02, -92.7 43)"
2016-04-27,16:40:00,-06:00,IA,Iowa,19,0,0,0,3000,0,613809,-94.3531,40.9911,-94.3565,41.0492,4.01,750.0,"LINESTRING(-94.3531 40.9911, -94.3565 41.0492)"
2014-06-30,12:02:00,-06:00,IA,Iowa,19,1,0,0,0.17,0.025,526790,-93.2637,42.1635,-93.1306,42.2087,7.54,1380.0,"LINESTRING(-93.2637 42.1635, -93.1306 42.2087)"
2001-04-11,14:38:00,-06:00,IA,Iowa,19,1,0,0,0.07,0,632,-93.82,42.43,-93.8,42.47,2.2,150.0,"LINESTRING(-93.82 42.43, -93.8 42.47)"
2008-04-10,16:10:00,-06:00,IA,Iowa,19,1,0,0,0.075,0,435,-93.0,40.86,-92.98,40.9,2.92,150.0,"LINESTRING(-93 40.86, -92.98 40.9)"
1998-06-29,12:20:00,-06:00,IA,Iowa,19,2,85,0,10.58,0,1115,-94.08,41.92,-93.6,41.6,34.1,300.0,"LINESTRING(-94.08 41.92, -93.96 41.84, -93.84 41.76, -93.72 41.68, -93.6 41.6)"
1999-07-02,13:10:00,-06:00,IA,Iowa,19,1,0,0,0.002,0,1116,-94.95,41.67,-94.95,41.67,0.5,90.0,
2017-07-11,16:35:00,-06:00,IA,Iowa,19,1,0,0,1000,0,615547,-91.9896,41.6977,-91.9456,41.7555,4.58,180.0,"LINESTRING(-91.9896 41.6977, -91.9456 41.7555)"
2004-05-24,18:53:00,-06:00,IA,Iowa,19,0,0,0,0.002,0,927,-92.87,40.73,-92.87,40.73,0.1,75.0,
2015-11-11,15:27:00,-06:00,IA,Iowa,19,0,0,0,0.025,0,609103,-93.6736,41.518,-93.6503,41.5513,2.59,450.0,"LINESTRING(-93.6736 41.518, -93.6503 41.5513)"
2007-09-30,17:26:00,-06:00,IA,Iowa,19,2,0,0,4.075,1.85,982,-92.87,41.46,-92.6,41.7,21.86,3750.0,"LINESTRING(-92.87 41.46, -92.735 41.58, -92.6 41.7)"
2017-04-15,19:50:00,-06:00,IA,Iowa,19,1,0,0,10000,10000,614993,-91.2288,42.1417,-91.1678,42.1469,3.22,75.0,"LINESTRING(-91.2288 42.1417, -91.1678 42.1469)"
2004-09-05,19:48:00,-06:00,IA,Iowa,19,0,0,0,0.07,0,1580,-93.53,41.08,-93.53,41.17,2.0,150.0,"LINESTRING(-93.53 41.08, -93.53 41.17)"
2015-11-11,15:42:00,-06:00,IA,Iowa,19,1,1,0,0.35,0,609106,-93.1315,41.29,-93.0651,41.3292,4.38,300.0,"LINESTRING(-93.1315 41.29, -93.0651 41.3292)"
2011-04-09,18:37:00,-06:00,IA,Iowa,19,1,0,0,0.025,0,283460,-95.6493,42.1956,-95.6379,42.2011,0.69,225.0,"LINESTRING(-95.6493 42.1956, -95.6379 42.2011)"
1999-05-16,15:16:00,-06:00,IA,Iowa,19,3,16,2,1.9,0,394,-95.87,41.6,-95.75,41.67,7.5,1320.0,"LINESTRING(-95.87 41.6, -95.75 41.67)"
2009-08-19,14:50:00,-06:00,IA,Iowa,19,0,0,0,0.022,0.045,1060,-91.8792,42.936,-91.8439,42.9801,3.53,120.0,"LINESTRING(-91.8792 42.936, -91.8439 42.9801)"
2017-03-06,22:13:00,-06:00,IA,Iowa,19,2,0,0,52000,0,614759,-90.8675,41.4528,-90.4995,41.6932,25.25,3000.0,"LINESTRING(-90.8675 41.4528, -90.6835 41.573, -90.4995 41.6932)"
2016-05-09,18:46:00,-06:00,IA,Iowa,19,0,0,0,5000,0,613883,-94.6394,41.6517,-94.6874,41.7231,5.52,390.0,"LINESTRING(-94.6394 41.6517, -94.6874 41.7231)"
2001-05-10,16:15:00,-06:00,IA,Iowa,19,2,0,0,0.07,0,669,-92.82,42.28,-92.7,42.18,8.0,2625.0,"LINESTRING(-92.82 42.28, -92.7 42.18)"
2005-11-12,16:30:00,-06:00,IA,Iowa,19,1,0,0,0.8,0,553,-95.9,43.07,-95.87,43.07,1.0,300.0,"LINESTRING(-95.9 43.07, -95.87 43.07)"
2008-04-25,12:35:00,-06:00,IA,Iowa,19,0,0,0,0.025,0,524,-92.42,40.85,-92.4,40.85,0.81,90.0,"LINESTRING(-92.42 40.85, -92.4 40.85)"
2017-03-06,19:29:00,-06:00,IA,Iowa,19,1,0,0,50000,0,614735,-93.291,41.2765,-93.2182,41.331,5.33,360.0,"LINESTRING(-93.291 41.2765, -93.2182 41.331)"
2008-06-05,20:24:00,-06:00,IA,Iowa,19,1,0,0,0.025,0.002,1103,-94.39,41.08,-94.35,41.11,3.04,450.0,"LINESTRING(-94.39 41.08, -94.35 41.11)"
2017-05-17,18:44:00,-06:00,IA,Iowa,19,1,0,0,2000,0,615197,-90.7228,41.7003,-90.6933,41.7219,2.14,75.0,"LINESTRING(-90.7228 41.7003, -90.6933 41.7219)"
2017-03-06,18:27:00,-06:00,IA,Iowa,19,0,0,0,125000,0,614729,-93.8958,41.9826,-93.6089,42.1287,17.86,255.0,"LINESTRING(-93.8958 41.9826, -93.75235 42.05565, -93.6089 42.1287)"
2005-05-10,19:20:00,-06:00,IA,Iowa,19,0,0,0,0.002,0,734,-94.92,41.68,-94.88,41.7,2.5,120.0,"LINESTRING(-94.92 41.68, -94.88 41.7)"
2008-06-08,18:30:00,-06:00,IA,Iowa,19,1,0,0,0.075,0.005,1161,-92.35,41.14,-92.32,41.16,2.08,300.0,"LINESTRING(-92.35 41.14, -92.32 41.16)"
2006-04-13,18:40:00,-06:00,IA,Iowa,19,0,0,0,0.07,0,352,-91.6,42.1,-91.6,42.1,1.0,600.0,
2008-05-25,17:05:00,-06:00,IA,Iowa,19,3,3,0,1.1,0,924,-92.02,42.6,-91.39,42.56,31.99,3696.0,"LINESTRING(-92.02 42.6, -91.8625 42.59, -91.705 42.58, -91.5475 42.57, -91.39 42.56)"
1999-04-08,17:15:00,-06:00,IA,Iowa,19,3,0,0,0.65,0,819,-92.42,40.75,-92.2,40.93,16.0,900.0,"LINESTRING(-92.42 40.75, -92.31 40.84, -92.2 40.93)"
2006-04-13,20:42:00,-06:00,IA,Iowa,19,1,0,0,0.06,0,363,-90.37,41.6,-90.33,41.6,1.5,300.0,"LINESTRING(-90.37 41.6, -90.33 41.6)"
2007-06-01,11:07:00,-06:00,IA,Iowa,19,3,7,0,16,0,664,-91.19,41.27,-91.03,41.46,15.75,2322.0,"LINESTRING(-91.19 41.27, -91.11 41.365, -91.03 41.46)"
2008-06-04,19:58:00,-06:00,IA,Iowa,19,1,0,0,0.025,0.005,1067,-94.6,40.95,-94.51,41.0,5.63,450.0,"LINESTRING(-94.6 40.95, -94.51 41)"
1996-05-09,01:40:00,-06:00,IA,Iowa,19,1,0,0,0.07,0,165,-92.3,40.7,-92.27,40.7,2.0,150.0,"LINESTRING(-92.3 40.7, -92.27 40.7)"
2008-06-04,19:24:00,-06:00,IA,Iowa,19,1,0,0,0.015,0.005,1063,-94.83,40.97,-94.65,40.95,9.49,450.0,"LINESTRING(-94.83 40.97, -94.65 40.95)"
2013-06-12,15:32:00,-06:00,IA,Iowa,19,2,0,0,0.3,0.01,446149,-93.4745,42.8246,-93.3831,42.7913,5.2,900.0,"LINESTRING(-93.4745 42.8246, -93.3831 42.7913)"
1996-05-09,00:50:00,-06:00,IA,Iowa,19,1,0,0,0.07,0,172,-92.88,40.88,-92.88,40.88,0.7,105.0,
2014-08-31,18:57:00,-06:00,IA,Iowa,19,0,0,0,0.002,0.005,533460,-94.6781,42.1122,-94.6473,42.1276,1.9,180.0,"LINESTRING(-94.6781 42.1122, -94.6473 42.1276)"
1999-05-16,14:33:00,-06:00,IA,Iowa,19,2,0,0,0.62,0,392,-95.75,42.08,-95.32,42.12,22.5,270.0,"LINESTRING(-95.75 42.08, -95.535 42.1, -95.32 42.12)"
2016-07-23,15:06:00,-06:00,IA,Iowa,19,1,0,0,5000,0,614232,-91.5974,42.4393,-91.5953,42.4393,0.11,75.0,"LINESTRING(-91.5974 42.4393, -91.5953 42.4393)"
2000-10-13,17:45:00,-06:00,IA,Iowa,19,1,0,0,0.08,0,1059,-94.7,42.83,-94.5,42.93,14.0,150.0,"LINESTRING(-94.7 42.83, -94.5 42.93)"
1998-05-21,20:20:00,-06:00,IA,Iowa,19,1,0,0,0.07,0,248,-94.77,41.47,-94.77,41.47,0.5,120.0,
2007-06-01,13:28:00,-06:00,IA,Iowa,19,2,0,0,3.25,0,666,-90.43,42.21,-90.43,42.21,3.44,1050.0,
2016-06-14,13:22:00,-06:00,IA,Iowa,19,0,0,0,1000,0,614080,-95.3205,43.35,-95.316,43.354,0.36,75.0,"LINESTRING(-95.3205 43.35, -95.316 43.354)"
2000-05-11,18:55:00,-06:00,IA,Iowa,19,2,0,0,0.35,0,765,-92.23,42.57,-92.17,42.6,3.6,360.0,"LINESTRING(-92.23 42.57, -92.17 42.6)"
2017-03-06,18:58:00,-06:00,IA,Iowa,19,1,0,0,25000,0,614731,-93.3327,42.2472,-93.2299,42.298,6.32,900.0,"LINESTRING(-93.3327 42.2472, -93.2299 42.298)"
2004-05-30,13:18:00,-06:00,IA,Iowa,19,0,0,0,0.003,0,371,-91.55,40.5,-91.55,40.5,0.3,120.0,
1999-04-08,16:18:00,-06:00,IA,Iowa,19,3,5,0,1.37,0,817,-93.52,41.07,-93.25,41.67,39.0,0.0,"LINESTRING(-93.52 41.07, -93.4525 41.22, -93.385 41.37, -93.3175 41.52, -93.25 41.67)"
1996-05-27,13:50:00,-06:00,IA,Iowa,19,1,0,0,0.002,0,169,-94.47,40.62,-94.47,40.62,0.3,135.0,
2005-05-10,18:58:00,-06:00,IA,Iowa,19,0,0,0,0.002,0,732,-95.07,41.58,-95.05,41.58,2.0,120.0,"LINESTRING(-95.07 41.58, -95.05 41.58)"
2017-06-16,20:35:00,-06:00,IA,Iowa,19,1,0,0,30000,3000,615451,-94.8595,40.7198,-94.8356,40.7138,1.32,120.0,"LINESTRING(-94.8595 40.7198, -94.8356 40.7138)"
2011-05-22,14:37:00,-06:00,IA,Iowa,19,1,0,0,0.175,0,301562,-92.0078,42.8558,-91.8549,42.876,7.87,210.0,"LINESTRING(-92.0078 42.8558, -91.8549 42.876)"
2015-05-17,01:20:00,-06:00,IA,Iowa,19,0,0,0,0.025,0.005,575674,-93.8964,41.1702,-93.898,41.273,7.11,390.0,"LINESTRING(-93.8964 41.1702, -93.898 41.273)"
2011-05-11,15:45:00,-06:00,IA,Iowa,19,1,0,0,10,0,290637,-94.5653,40.8784,-94.5764,40.8901,1.0,1200.0,"LINESTRING(-94.5653 40.8784, -94.5764 40.8901)"
2015-11-11,13:48:00,-06:00,IA,Iowa,19,1,0,0,1.45,0,602065,-95.3943,41.4682,-95.3275,41.607,10.21,450.0,"LINESTRING(-95.3943 41.4682, -95.3275 41.607)"
2008-04-10,15:57:00,-06:00,IA,Iowa,19,1,0,0,0.075,0,434,-93.08,40.67,-93.07,40.7,2.01,90.0,"LINESTRING(-93.08 40.67, -93.07 40.7)"
2015-06-20,18:32:00,-06:00,IA,Iowa,19,1,0,0,0.3,0,610626,-91.2844,40.8123,-91.2494,40.7783,2.92,150.0,"LINESTRING(-91.2844 40.8123, -91.2494 40.7783)"
2001-04-11,16:07:00,-06:00,IA,Iowa,19,1,0,0,0.12,0,635,-92.28,42.32,-92.22,42.47,10.0,150.0,"LINESTRING(-92.28 42.32, -92.22 42.47)"
2004-05-22,18:45:00,-06:00,IA,Iowa,19,0,0,0,0.002,0,908,-93.42,41.88,-93.4,41.87,1.4,150.0,"LINESTRING(-93.42 41.88, -93.4 41.87)"
2016-07-17,05:03:00,-06:00,IA,Iowa,19,1,0,0,5000000,0,614210,-90.6023,42.1471,-90.5853,42.1541,1.0,150.0,"LINESTRING(-90.6023 42.1471, -90.5853 42.1541)"
2001-09-06,16:39:00,-06:00,IA,Iowa,19,2,0,0,0.18,0,1098,-92.58,42.68,-92.42,42.78,11.5,300.0,"LINESTRING(-92.58 42.68, -92.42 42.78)"
2015-11-11,14:51:00,-06:00,IA,Iowa,19,1,0,0,0.025,0,602866,-94.1384,41.3113,-94.0598,41.4446,10.07,225.0,"LINESTRING(-94.1384 41.3113, -94.0598 41.4446)"
1998-06-18,14:30:00,-06:00,IA,Iowa,19,2,0,0,0.8,0,1278,-92.05,42.48,-91.63,42.6,20.0,90.0,"LINESTRING(-92.05 42.48, -91.84 42.54, -91.63 42.6)"
1999-04-08,16:13:00,-06:00,IA,Iowa,19,2,0,0,0.12,0,816,-93.75,41.18,-93.45,41.58,32.0,0.0,"LINESTRING(-93.75 41.18, -93.675 41.28, -93.6 41.38, -93.525 41.48, -93.45 41.58)"
2001-04-11,13:25:00,-06:00,IA,Iowa,19,1,0,0,0.06,0,629,-94.53,41.82,-94.53,41.85,2.0,225.0,"LINESTRING(-94.53 41.82, -94.53 41.85)"
1997-07-26,09:30:00,-06:00,IA,Iowa,19,1,0,0,0.22,0,304,-94.72,43.1,-94.68,43.1,1.0,120.0,"LINESTRING(-94.72 43.1, -94.68 43.1)"
2011-05-22,13:33:00,-06:00,IA,Iowa,19,2,3,0,0.775,0,300438,-92.4933,43.4091,-91.9719,43.5789,28.68,750.0,"LINESTRING(-92.4933 43.4091, -92.36295 43.45155, -92.2326 43.494, -92.10225 43.53645, -91.9719 43.5789)"
2002-06-01,16:07:00,-06:00,ID,Iowa,19,1,0,0,0.06,0,146,-112.15,43.7,-112.1,43.73,2.5,210.0,"LINESTRING(-112.15 43.7, -112.1 43.73)"
2017-03-06,22:18:00,-06:00,IA,Iowa,19,1,0,0,110000,0,614760,-90.99,41.7468,-90.7262,41.884,16.63,300.0,"LINESTRING(-90.99 41.7468, -90.8581 41.8154, -90.7262 41.884)"
2005-11-12,16:26:00,-06:00,IA,Iowa,19,2,2,0,3.25,0,1201,-94.0454,41.7599,-93.9065,41.8691,14.0,300.0,"LINESTRING(-94.0454 41.7599, -93.9065 41.8691)"
2016-09-06,16:50:00,-06:00,IA,Iowa,19,0,0,0,200,0,614357,-92.237,43.4085,-92.2366,43.4084,0.02,75.0,"LINESTRING(-92.237 43.4085, -92.2366 43.4084)"
2005-11-12,16:27:00,-06:00,IA,Iowa,19,3,3,1,12.4,0,1200,-94.08,42.17,-93.88,42.35,17.6,450.0,"LINESTRING(-94.08 42.17, -93.98 42.26, -93.88 42.35)"
1996-05-09,23:36:00,-06:00,IA,Iowa,19,1,2,0,0.38,0,167,-92.75,41.08,-92.73,41.07,1.5,180.0,"LINESTRING(-92.75 41.08, -92.73 41.07)"
